             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
        10805309_1    shared kernel_d struelo1  R    6:01:58      1 compute0022
        10805309_2    shared kernel_d struelo1  R    6:01:58      1 compute0023
        10805309_3    shared kernel_d struelo1  R    6:01:58      1 compute0023
        10805309_4    shared kernel_d struelo1  R    6:01:58      1 compute0023
        10805309_5    shared kernel_d struelo1  R    6:01:58      1 compute0023
        10805309_6    shared kernel_d struelo1  R    6:01:58      1 compute0023
        10805309_7    shared kernel_d struelo1  R    6:01:58      1 compute0023
        10805309_8    shared kernel_d struelo1  R    6:01:58      1 compute0023
        10805309_9    shared kernel_d struelo1  R    6:01:58      1 compute0023
       10805309_10    shared kernel_d struelo1  R    6:01:58      1 compute0023
       10805309_11    shared kernel_d struelo1  R    6:01:58      1 compute0023
       10805309_12    shared kernel_d struelo1  R    6:01:58      1 compute0023
       10805309_14    shared kernel_d struelo1  R    5:54:08      1 compute0100
       10805309_13    shared kernel_d struelo1  R    5:56:57      1 compute0013
       10805309_17    shared kernel_d struelo1  R    5:52:21      1 compute0010
       10805309_18    shared kernel_d struelo1  R    5:52:21      1 compute0010
       10805309_19    shared kernel_d struelo1  R    5:52:21      1 compute0057
       10805309_20    shared kernel_d struelo1  R    5:52:21      1 compute0057
       10805309_15    shared kernel_d struelo1  R    5:52:56      1 compute0046
       10805309_16    shared kernel_d struelo1  R    5:52:56      1 compute0046
          10703418    shared    GaFem abagri1@  R 2-12:04:20      1 compute0031
          10796383    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0001
          10796384    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0001
          10796385    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0001
          10796386    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0008
          10796387    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0008
          10796388    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0008
          10796389    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0008
          10796390    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0008
          10796391    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0008
          10796392    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0008
          10796393    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0008
          10796394    shared   GBdist xtu3@jhu  R 1-01:33:30      1 compute0022
          10803767    shared     QS23 skotha1@  R    1:27:30      3 compute[0033,0101,0129]
          10803772    shared     QS23 skotha1@  R    1:25:22      3 compute[0061,0113,0137]
          10803758    shared     QS23 skotha1@  R    1:31:13      3 compute[0054,0124,0130]
          10800841    shared Owen2014 oyogurt1  R   17:59:42      1 compute0004
